Date,EUR,GBP,CAD,AUD,JPY
1/1/1999,0.847457627,0.602264515,1.5352,1.638538424,113.6
1/4/1999,0.844808651,0.602300789,1.5271,1.606941989,112.02
1/5/1999,0.850195545,0.60437568,1.5125,1.608234159,111.58
1/6/1999,0.85999312,0.603937674,1.5114,1.591596371,112.88
1/7/1999,0.853752241,0.606134077,1.5129,1.574555188,111.31
1/8/1999,0.863185153,0.609570253,1.5115,1.577535889,110.85
1/11/1999,0.87001914,0.61338404,1.5056,1.56470036,108.89
1/12/1999,0.864977078,0.612257393,1.5161,1.572821642,112.59
1/13/1999,0.856971463,0.605877007,1.5226,1.584283904,113.36
1/14/1999,0.855358823,0.603718908,1.5343,1.588562351,113.58
1/15/1999,0.865426222,0.605987153,1.5245,1.577038322,114.15
1/18/1999,0.861103935,0.605290237,1.526,1.577038322,114.23
1/19/1999,0.862440707,0.603828271,1.5293,1.565680288,113.47
1/20/1999,0.864677907,0.607422705,1.5215,1.5625,113.09
1/21/1999,0.861920359,0.605107104,1.515,1.561524047,113.83
1/22/1999,0.862961685,0.604777744,1.5184,1.580278129,114.57
1/25/1999,0.866926745,0.603245461,1.52,1.585037248,113.86
1/26/1999,0.864977078,0.602700096,1.5196,1.589067218,113.87
1/27/1999,0.873743993,0.606832939,1.5179,1.592103168,115.64
1/28/1999,0.875656743,0.606281072,1.517,1.594896332,116.33
1/29/1999,0.880126738,0.607939692,1.5105,1.586546089,116.33
2/1/1999,0.884251481,0.608976311,1.5076,1.572574304,114.95
2/2/1999,0.880979649,0.609607413,1.5147,1.568135487,111.98
2/3/1999,0.883860704,0.611060189,1.5103,1.557875058,112.99
2/4/1999,0.881834215,0.607976654,1.4916,1.543209877,112.07
2/5/1999,0.887626487,0.612782646,1.491,1.53609831,113.13
2/8/1999,0.883080184,0.61001647,1.4923,1.538698261,114.55
2/9/1999,0.883782589,0.610537884,1.4955,1.548946716,114.08
2/10/1999,0.882924245,0.614817092,1.4903,1.546312046,114.36
2/11/1999,0.890947969,0.616294835,1.4913,1.543209877,114.63
2/12/1999,0.884329678,0.611658205,1.4915,1.546072975,114.25
2/15/1999,0.890947969,0.614854894,1.4931,1.549666822,115.72
2/16/1999,0.89206066,0.611845326,1.4955,1.574059499,118.57
2/17/1999,0.889046942,0.611321677,1.4941,1.572821642,118.83
2/18/1999,0.893255918,0.611508592,1.4875,1.57158573,119.67
2/19/1999,0.903423977,0.616522811,1.4885,1.560549313,121.3
2/22/1999,0.907276356,0.61500615,1.4948,1.559819061,121.28
2/23/1999,0.908512765,0.619463545,1.4943,1.561036528,120.8
2/24/1999,0.908512765,0.625938908,1.4986,1.578781181,121.45
2/25/1999,0.906207522,0.624258693,1.5113,1.599744041,119.84
2/26/1999,0.906700517,0.624024961,1.5095,1.616031028,119.2
3/1/1999,0.918105031,0.621774545,1.5218,1.611603546,119.7
3/2/1999,0.913909706,0.61858221,1.5215,1.608234159,120.11
3/3/1999,0.91954023,0.620039683,1.5236,1.609010459,121.77
3/4/1999,0.926011668,0.621349571,1.5222,1.596169194,123.44
3/5/1999,0.923958237,0.62282013,1.519,1.591596371,122.73
3/8/1999,0.918442322,0.621310966,1.5173,1.583029919,121.8
3/9/1999,0.919033177,0.618199802,1.5188,1.575051189,121.17
3/10/1999,0.91382619,0.61515748,1.5228,1.56838143,119.79
3/11/1999,0.905633037,0.611134877,1.5244,1.569858713,119.19
3/12/1999,0.917010546,0.612745098,1.524,1.57158573,118.7
3/15/1999,0.914745701,0.616827042,1.5268,1.589825119,117.95
